4854,0,0,2
3414,10,0,2
322,4,0,2
0,9,0,2
6190,0,0,0
6152,4,0,2
5660,7,0,4
1188,4,0,0
8427,0,0,0
322,1,0,2
5498,0,0,4
247,2,0,2
7220,3,0,0
6152,5,0,2
5217,0,0,0
6029,0,0,0
247,6,0,0
322,1,0,0
5498,0,1,2
8427,0,0,2
2048,0,3,0
8115,3,0,0
8826,0,0,0
6861,6,0,2
8364,0,0,1
1188,0,6,0
4390,0,6,0
6057,0,0,0
8115,6,0,0
548,1,0,4
5090,8,0,0
5708,0,0,4
5217,0,0,0
5708,0,0,4
2832,11,0,2
4758,0,0,0
8427,0,0,0
332,0,0,0
2337,12,0,2
6101,0,0,0
5225,0,0,0
5660,6,0,2
7220,2,0,2
6101,0,0,0
6057,0,0,2
2832,7,1,2
5498,0,1,4
5641,0,7,2
8364,0,9,0
8427,0,0,2
3641,5,1,2
5660,9,0,2
6140,0,0,3
6101,0,0,0
548,2,5,4
2832,7,0,2
247,5,0,2
4390,1,1,0
1188,4,1,2
5645,1,0,2
6861,3,0,2
5641,0,0,2
5498,0,0,4
6101,0,0,0
8364,0,0,0
5645,4,0,0
8364,0,0,0
5225,0,0,0
5877,0,0,0
2048,0,5,0
7220,6,0,0
322,0,0,2
2832,9,0,2
94,0,0,0
7220,2,0,0
8427,0,3,1
5418,1,0,0
5090,17,0,2
1188,5,0,0
2337,7,0,2
6057,1,0,2
7174,2,0,0
5225,0,0,0
5217,0,0,1
5708,0,0,2
5660,3,0,3
5641,0,6,2
7174,1,0,2
94,0,0,2
5531,0,0,0
7191,0,3,0
2832,10,0,2
548,4,0,0
3414,9,0,2
5577,2,0,0
7191,0,3,2
247,2,2,2
3641,7,0,0
5695,3,0,2
7174,0,1,2
6861,2,2,2
7191,0,3,2
4758,0,0,0
